spotify_id,Song,Artist,Rank,Genre,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
3eIc0XWlqNkT290DfwNyBJ,Don't Close Your Eyes,Keith Whitley,14,country,0.691,0.234,-6.441,0.0285,0.777,0,0.12,0.209,87.103
29TI0GvP5gMQMPTJjdMe0H,You Never Even Called Me By My Name,David Allan Coe,15,country,0.755,0.78,-6.084,0.0327,0.124,2.83E-05,0.121,0.387,120.004
5cCLKP66G2PJEorzYQVXHR,Love,Demi Lovato,16,country,0.489,0.561,-7.933,0.0274,0.2,4.56E-05,0.179,0.238,83.457
6DqzLbXkxRUbvFyzWApTXM,Past The Point Of Rescue,Hal Ketchum,17,country,0.706,0.112,-18.098,0.0391,0.827,4.03E-06,0.125,0.414,110.154
2nWKk3ACZN7exdamcHvGMU,Don't Laugh At Me,Mark Wills,18,country,0.795,0.0841,-18.09,0.0461,0.742,1.17E-05,0.0853,0.609,91.803
0Jtp6dLT78aWIdnoteCSxv,Smoky Mountain Rain,Ronnie Milsap,19,country,0.625,0.414,-8.7,0.0369,0.294,0,0.151,0.669,130.088
70TsRbycWfabtevnripyRu,Don't Let Our Love Start Slippin' Away,Vince Gill,20,country,0.717,0.32,-8.393,0.0283,0.83,0,0.107,0.322,107.946
2lYMQJyM2LOGEG3rVkdFod,Family Tradition,Hank Williams,21,country,0.703,0.444,-9.331,0.0417,0.559,0,0.0973,0.712,150.96
1gNUf7ItWfqwFrpDWzYcYY,Kiss An Angel Good Mornin',Charley Pride,22,country,0.678,0.351,-8.654,0.0266,0.747,0,0.355,0.569,90.032
7fJaL74toBMoNuO7iUXsST,Bubba Shot the Jukebox,Mark Chesnutt,23,country,0.407,0.147,-8.822,0.0355,0.857,2.89E-06,0.0913,0.0765,141.284
3mM14WXoPaLRjjkmxHe99L,Coal Miner's Daughter,Loretta Lynn,24,country,0.572,0.454,-10.286,0.0258,0.477,1.37E-05,0.0974,0.515,140.182
0sgnJ5LFjEy2IuQ99NEZ1C,Hell on Heels,Pistol Annies,25,country,0.796,0.667,-4.831,0.0392,0.381,0,0.221,0.754,97.988
3rXCZRMiMZp0feGcYXpwYX,Cowboy Take Me Away,Dixie Chicks,26,country,0.755,0.454,-9.609,0.0352,0.757,0,0.236,0.33,120.06
1XFzAUUOUvusbHdbVynH5A,Red River Valley,Suzy Bogguss,27,country,0.62,0.309,-9.209,0.0495,0.788,0,0.146,0.664,145.363
2btMA0oVvDOTK3PVYq70xZ,This Cowboy's Hat,Chris LeDoux,28,country,0.633,0.429,-6.784,0.0381,0.0444,0,0.132,0.52,143.793
1KNNTdw7SzJ90p6RXq4kGE,Grandpa (Tell Me 'Bout The Good Old Days),The Judds,29,country,0.62,0.309,-9.209,0.0495,0.788,0,0.146,0.664,145.363
5DWmvAL8WPuncj8tSxFVNC,Last Call,Lee Ann Womack,30,country,0.386,0.936,-4.005,0.0701,0.0121,1.60E-05,0.266,0.418,176.366
0IErUOvyUhX4Gxji2LPjTc,Cheater,Taylor Swift,31,country,0.344,0.931,-3.759,0.0783,0.00104,0,0.0903,0.251,148.104
2Cb2l4UoXynCHCeCYHRZN8,Stand By Your Man,Tammy Wynette,32,country,0.569,0.963,-3.069,0.0593,0.000787,0.0256,0.22,0.82,76.995
7xdQBiKGzfN8ripbLkihWu,Seminole Wind,John Anderson,33,country,0.573,0.913,-6.52,0.0409,0.00861,0.0273,0.114,0.795,88.418
33AQv3sfvHmtGfYNIJpi96,Tequila Makes Her Clothes Fall Off,Joe Nichols,34,country,0.417,0.682,-5.071,0.0295,0.0267,0.000669,0.109,0.351,105.542
1ccfxq0BQovRaGSYTwljLR,Good as I Was to You,Lorrie Morgan,35,country,0.344,0.931,-3.759,0.0783,0.00104,0,0.0903,0.251,148.104
04f1rOkeyOqYQQzPJZk9JS,How Can I Help You Say Goodbye,Patty Loveless,36,country,0.658,0.773,-5.119,0.0244,0.000901,0,0.194,0.66,100.006
2kZZq09uK0oR9wwYJvgacb,Paint Me a Birmingham,Tracy Lawrence,37,country,0.64,0.821,-5.789,0.0732,0.00122,0.145,0.203,0.624,135.478
0zvNHIL7ci0ZzIoWU6RO2u,I Love A Rainy Night,Eddie Rabbitt,38,country,0.344,0.931,-3.759,0.0783,0.00104,0,0.0903,0.251,148.104
6gRACp2CvsIhc7hyw8CecQ,The Devil Went Down to Georgia,The Charlie Daniels Band,39,country,0.508,0.981,-3.23,0.0779,8.22E-05,0.000449,0.0555,0.746,138.011
7CNd7rjfVt74TFlcOcnZgN,In Color,Jamey Johnson,40,country,0.421,0.986,-1.795,0.152,0.00482,0,0.295,0.263,105.83
5LNKhl5Q3ZYlC8SWiqV0hv,Walkaway Joe,Trisha Yearwood,41,country,0.112,0.978,-2.64,0.117,0.000108,0.0241,0.117,0.371,173.097
04F6rARD2mv4JiT8WglIDz,What Might Have Been,Little Texas,42,country,0.112,0.978,-2.64,0.117,0.000108,0.0241,0.117,0.371,173.097
6QT53ohGZeLGoYktBPRePD,Apologize (Acoustic Version),Kacey Musgraves,43,country,0.476,0.979,-3.504,0.133,0.00142,0.00686,0.0944,0.394,140.408
4UWDRNon2wbiqDsdkfUBGi,Holding Her and Loving You,Earl Thomas Conley,44,country,0.417,0.682,-5.071,0.0295,0.0267,0.000669,0.109,0.351,105.542
15cGdiAHmezm0P04jVAjMo,Letters From Home,John Michael Montgomery,45,country,0.532,0.872,-3.869,0.0636,0.00223,0,0.283,0.299,127.959
5E5qobIPLh5K9opkag3J1C,Fall,Clay Walker,46,country,0.588,0.847,-4.164,0.0705,0.0601,0,0.307,0.662,120.041
3qd4eFbXvTs0xsgDnExC0I,I Was Country When Country Wasn't Cool,Barbara Mandrell,47,country,0.588,0.847,-4.164,0.0705,0.0601,0,0.307,0.662,120.041
0qXUwQbZHFnhAGCgqwz2lR,Meet Me In Montana,Dan Seals,48,country,0.588,0.847,-4.164,0.0705,0.0601,0,0.307,0.662,120.041
61EQfJXizp4MIpLYWyLoQI,When She Cries,Restless Heart,49,country,0.605,0.7,-6.47,0.0277,0.00998,0,0.116,0.588,84.962
2hckAvL66faAcR0Fk64hj6,Pancho and Lefty,Merle Haggard,50,country,0.532,0.872,-3.869,0.0636,0.00223,0,0.283,0.299,127.959
6s0yNmp4Hd32wGx40T6uL8,Kinetic (The Crystal Method vs. Dada Life),The Crystal Method,1,electronic,0.417,0.682,-5.071,0.0295,0.0267,0.000669,0.109,0.351,105.542
4bz7uB4edifWKJXSDxwHcs,Galvanize,The Chemical Brothers,2,electronic,0.666,0.935,-4.563,0.0445,0.00285,0.781,0.352,0.69,118.999
