spotify_id,Song,Artist,Rank,Genre,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1AR2VBeuqLQJYgsF33Pbgv,It's Electric,Diamond Head,42,metal,0.469,0.762,-12.566,0.0384,0.0000761,0.118,0.101,0.751,90.853
57ksenFZL6ipDlpls2cq0Q,Charging the Void,Vektor,43,metal,0.519,0.998,-4.631,0.192,0.0000141,0.000382,0.112,0.107,100.039
2Wu6LMO0Rx6Aa4LPHH1T95,Agent Orange,Sodom,44,metal,0.262,0.988,-4.939,0.117,0.0000163,0.733,0.21,0.259,113.663
7G83ZwD2msTtFaBQExc8QB,Institutionalized,Suicidal Tendencies,45,metal,0.358,0.804,-8.534,0.302,0.0404,0,0.111,0.625,91.842
52p7YvOmvdCG714prT2Peo,Last Man Standing,Hammerfall,46,metal,0.533,0.803,-6.702,0.0376,0.0447,0,0.392,0.165,109.998
54cBqIDAX3dH5Ys1DKgDWR,Eaten,Bloodbath,47,metal,0.407,0.967,-4.213,0.0576,0.0000996,0,0.103,0.198,147.999
34LXW73avo8xz0NLiVuiow,Metal Church,Metal Church,48,metal,0.428,0.947,-8.516,0.0751,0.000679,0.0563,0.262,0.223,102.335
3D1mFqa1AJNGgSD5wKnwVc,Evolution (The Grand Design),Symphony X,49,metal,0.351,0.948,-6.058,0.0941,0.0213,0.0000478,0.193,0.227,158.15
5bKD8llj8BPQ3GJ7QckFJn,(Empty) Tankard,Tankard,50,metal,0.325,0.996,-2.95,0.096,0.0000199,0.0389,0.186,0.354,120.013
3TGRqZ0a2l1LRblBkJoaDx,Call Me Maybe,Carly Rae Jepsen,1,pop,0.783,0.58,-6.548,0.0408,0.0114,0.00000228,0.108,0.66,120.021
5pD9x23lsoQr464mlmaKNJ,Chained To The Rhythm,Katy Perry,2,pop,0.451,0.809,-5.327,0.141,0.073,0,0.201,0.481,189.888
4Ce37cRWvM1vIGGynKcs22,Starving,Hailee Steinfeld,3,pop,0.728,0.616,-4.238,0.0645,0.378,0,0.105,0.508,99.962
0HVj61S4pQJdQhgZP61G65,I Would Like,Zara Larsson,4,pop,0.486,0.713,-3.949,0.0524,0.0853,0,0.0839,0.297,121.028
6E11E0lT5Zy7yb6iT3y8DN,Want U Back,Cher Lloyd,5,pop,0.694,0.891,-2.94,0.0949,0.0562,0,0.561,0.563,97.939
3tJ4y2Zqx6gM9xOAuFfsSF,Cool Girl,Tove Lo,6,pop,0.674,0.694,-7.076,0.109,0.313,0.00000717,0.0752,0.203,101.993
3lSDIJ2abCrOdDJ6pshUap,Close,Nick Jonas,7,pop,0.654,0.623,-5.273,0.082,0.253,0,0.144,0.401,123.996
1i1rNVtxbE7rdFfpHuNq2j,Hold My Hand,Jess Glynne,8,pop,0.642,0.823,-5.717,0.0289,0.00159,0,0.0776,0.431,122.977
